Depth,CALI,DT,GR,NPHI,DENPHI,RS,RT,SP
10316.0000,9.7231,97.0722,109.5642,40.3646,21.3105,0.9258,0.8126,0.3799
10316.5000,9.7316,99.0357,107.1160,40.0237,22.4975,0.8495,0.7910,0.3814
10317.0000,9.7802,100.9993,104.1243,40.4210,21.7012,0.7732,0.7746,0.3828
10317.5000,9.8613,101.3808,102.3097,41.3103,22.6973,0.8139,0.7614,0.3828
10318.0000,10.2352,99.9179,100.3140,42.1951,22.8313,0.8547,0.7483,0.3807
10318.5000,10.6613,99.7047,98.0922,43.0730,22.3905,0.8955,0.7352,0.3783
10319.0000,10.7141,99.8945,97.8631,43.9509,21.0191,0.8874,0.7282,0.3758
10319.5000,10.7832,99.8817,98.3133,44.8511,19.5455,0.8810,0.7228,0.3749
10320.0000,10.9179,99.8689,99.2164,45.7569,19.4081,0.8840,0.7174,0.3744
10320.5000,10.8993,99.8560,99.7772,49.6727,19.2708,0.8576,0.7105,0.3762
10321.0000,10.7868,103.1020,98.9693,48.8922,22.5775,0.8238,0.6974,0.3797
10321.5000,10.7076,104.9843,98.0002,48.1116,23.4219,0.7940,0.6843,0.3832
10322.0000,10.6284,106.8665,98.7442,47.3311,24.0711,0.7798,0.6712,0.3846
10322.5000,10.4016,107.9563,99.9769,45.7588,27.5620,0.7656,0.6693,0.3855
10323.0000,10.0368,107.7204,99.8754,44.3919,27.0427,0.7821,0.6674,0.3864
10323.5000,9.7908,106.7327,98.8843,43.8472,26.5235,0.8063,0.6656,0.3873
10324.0000,9.7627,105.7450,98.2886,43.3024,24.8636,0.8194,0.6744,0.3882
10324.5000,9.7345,105.0525,98.2858,42.7576,23.5849,0.8297,0.6993,0.3885
10325.0000,9.7064,104.3600,100.7285,42.1895,22.7504,0.8624,0.7243,0.3879
10325.5000,9.6783,102.7713,103.9866,41.5281,21.9159,0.8950,0.7492,0.3872
10326.0000,9.6522,100.5852,105.3425,40.8668,20.7250,0.9276,0.7722,0.3866
10326.5000,9.6275,97.1210,106.6984,40.2054,18.3654,0.9602,0.7877,0.3847
10327.0000,9.7648,95.2123,104.1595,39.5440,17.7309,0.9900,0.8031,0.3826
10327.5000,10.0101,95.4192,99.0268,41.4470,18.5563,1.0079,0.8186,0.3805
10328.0000,10.2394,97.8968,96.0597,42.6380,18.9953,1.0259,0.8413,0.3792
10328.5000,10.4448,100.6774,94.0652,43.3542,23.0255,0.9175,0.8640,0.3779
10329.0000,10.4923,100.9727,93.5295,43.8381,25.2086,0.8916,0.8868,0.3772
10329.5000,10.1911,99.5605,92.9938,43.9732,26.1426,0.9208,0.8773,0.3787
10330.0000,9.8200,98.9030,92.4581,44.7203,22.3308,0.9500,0.8463,0.3802
10330.5000,9.7212,99.3774,94.5966,46.3854,22.8377,1.0599,0.8154,0.3818
10331.0000,9.6905,99.8518,96.7350,47.2617,23.5751,0.9882,0.8142,0.3828
10331.5000,9.6871,101.5076,100.0589,47.9409,24.6581,0.8888,0.8130,0.3838
10332.0000,9.6905,103.0410,102.5559,47.6953,22.4328,0.8234,0.8118,0.3848
10332.5000,9.6939,104.2960,100.5606,47.1232,21.0980,0.8030,0.8110,0.3849
10333.0000,9.6723,103.8659,98.8384,46.1705,19.7632,0.8501,0.8103,0.3836
10333.5000,9.6443,102.3124,98.2084,45.2178,17.7097,0.8973,0.8096,0.3824
10334.0000,9.6373,99.6457,97.5784,46.0492,20.7993,0.9381,0.8089,0.3811
10334.5000,9.6443,96.2368,92.7052,47.3266,18.4424,0.9745,0.8082,0.3798
10335.0000,9.0307,92.9027,83.0104,46.7948,20.7650,1.0110,0.7991,0.3645
10335.5000,8.3209,89.5686,73.5874,45.8107,23.0876,1.0474,0.7900,0.3363
10336.0000,8.3031,86.7789,66.3020,37.9515,24.9903,2.7807,0.7736,0.3122
10336.5000,9.2358,86.5256,61.2796,32.7286,26.2632,2.2770,0.7637,0.3097
10337.0000,9.2995,89.5322,65.8883,29.9808,28.0025,1.5661,0.7993,0.3252
10337.5000,9.3633,92.5388,70.4969,30.8639,29.7363,0.8519,0.8418,0.3454
10338.0000,10.0847,95.4241,90.6481,37.1532,28.6499,0.8888,0.9119,0.3616
10338.5000,9.9210,96.2177,94.9477,38.7425,21.7606,1.1337,0.9820,0.3650
10339.0000,9.7109,94.1469,92.0628,39.7961,20.6202,1.2893,1.0521,0.3684
10339.5000,9.6922,91.7267,89.1779,38.7074,17.0594,1.4448,1.1222,0.3718
10340.0000,9.2169,88.3717,88.1329,37.6186,15.7358,1.6004,1.1971,0.3733
10340.5000,9.3741,86.8672,87.5480,35.5724,17.2064,1.7969,1.2913,0.3744
10341.0000,9.4334,85.3627,86.9630,32.6395,18.7901,1.8960,1.3497,0.3755
10341.5000,9.3460,83.8582,88.3191,32.5374,20.4493,1.8078,1.3542,0.3773
10342.0000,9.5150,85.7208,89.6752,33.7729,18.5043,1.4400,1.3051,0.3792
10342.5000,9.8549,88.4251,92.2416,42.4196,20.6738,1.3137,1.2201,0.3799
10343.0000,9.6660,91.2332,95.6149,45.3018,22.6245,1.1873,1.1351,0.3806
10343.5000,9.1405,94.0673,98.3987,46.6155,24.2661,1.0980,1.0489,0.3803
